shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Nike Air Max Cirro,3 695.00,https://www.nike.com/in/t/air-max-cirro-slides-96vclH/DC1460-007,Men,35,4.4,DC1460-007,Slides,,0.0,50.0,8,5,Nike,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,3 507.00,https://www.nike.com/in/t/air-max-cirro-slides-96vclH/DC1460-007,Men,35,4.4,DC1460-002,Slides,,0.0,50.0,0,5,Nike,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Renew Run 4,7 117.00,https://www.nike.com/in/t/renew-run-4-road-running-shoes-lxfK8c/DR2677-001,Men,3,4.7,DR2677-002,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,7 495.00,https://www.nike.com/in/t/renew-run-4-road-running-shoes-lxfK8c/DR2677-001,Men,3,4.7,DR2677-001,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,5 247.00,https://www.nike.com/in/t/renew-run-4-road-running-shoes-lxfK8c/DR2677-001,Men,3,4.7,DR2677-400,Road Running Shoes,,100.0,50.0,0,4,Nike,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,5 247.00,https://www.nike.com/in/t/renew-run-4-road-running-shoes-lxfK8c/DR2677-001,Men,3,4.7,DR2677-100,Road Running Shoes,,100.0,50.0,0,4,Nike,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Air Max Pulse Roam,14 995.00,https://www.nike.com/in/t/air-max-pulse-roam-shoes-NSfkP0/DZ3544-200,Men,21,4.5,DZ3544-200,Shoes,,,,13,2,Nike,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Nike Air Max Pulse Roam,14 995.00,https://www.nike.com/in/t/air-max-pulse-roam-shoes-NSfkP0/DZ3544-200,Men,21,4.5,DZ3544-001,Shoes,,,,13,2,Nike,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Tatum 1 'Home Team' PF,10 795.00,https://www.nike.com/in/t/tatum-1-home-team-pf-basketball-shoes-JbXhDt/DZ3330-003,Unisex,0,0.0,DZ3330-002,Basketball Shoes,,,,12,3,Nike,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Tatum 1 'Home Team' PF,10 795.00,https://www.nike.com/in/t/tatum-1-home-team-pf-basketball-shoes-JbXhDt/DZ3330-003,Unisex,0,0.0,DZ3330-003,Basketball Shoes,,,,12,3,Nike,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
