shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color_1,color_2,color_3,color_4,color_5
RS-Pulsoid women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=09&referrer-category=womens-shoes,women,,,392497_01,Sneakers,,,,4.0,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=09&referrer-category=womens-shoes,women,,,392497_03,Sneakers,,,,6.0,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=09&referrer-category=womens-shoes,women,,,392497_08,Sneakers,,,,6.0,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
RS-Pulsoid women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-womens-sneakers/392497?swatch=09&referrer-category=womens-shoes,women,,,392497_09,Sneakers,,,,6.0,4,Puma,PUMA White-Vivid Violet-PUMA Black,PUMA White-Koral Ice,PUMA White-Silver Mist,PUMA White-Passionfruit,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=11&referrer-category=womens-shoes,women,,,387468_06,Sneakers,,,,2.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=11&referrer-category=womens-shoes,women,,,387468_08,Sneakers,,,,4.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=11&referrer-category=womens-shoes,women,,,387468_11,Sneakers,,,,6.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=11&referrer-category=womens-shoes,women,,,387468_13,Sneakers,,,,6.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Crashed women's Sneakers,"7,999",,https://in.puma.com/in/en/pd/mayze-crashed-womens-sneakers/392495?swatch=08&referrer-category=womens-shoes,women,,,392495_02,Sneakers,,,,3.0,2,Puma,PUMA White-PUMA Black,PUMA White-Grape Mist,,,
Mayze Crashed women's Sneakers,"4,799","7,999",https://in.puma.com/in/en/pd/mayze-crashed-womens-sneakers/392495?swatch=08&referrer-category=womens-shoes,women,,,392495_08,Sneakers,,,,6.0,2,Puma,PUMA White-PUMA Black,PUMA White-Grape Mist,,,
PUMA Sienna SOFTRIDE women's Ballerina Shoes,"2,019","4,499",https://in.puma.com/in/en/pd/puma-sienna-softride-womens-ballerina-shoes/394636?swatch=01&referrer-category=womens-shoes,women,,,394636_01,Ballerina Shoes,,,,4.0,1,Puma,,,,,
Mayze Crashed PRM women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-crashed-prm-womens-sneakers/393070?swatch=03&referrer-category=womens-shoes,women,,,393070_03,Sneakers,,,,6.0,2,Puma,Warm White,PUMA White,,,
Mayze Crashed PRM women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-crashed-prm-womens-sneakers/393070?swatch=03&referrer-category=womens-shoes,women,,,393070_04,Sneakers,,,,5.0,2,Puma,Warm White,PUMA White,,,
PUMA X-Ray Fluido women's Sneakers,"2,999","4,999",https://in.puma.com/in/en/pd/puma-x-ray-fluido-womens-sneakers/394642?swatch=01&referrer-category=womens-shoes,women,,,394642_01,Sneakers,,,,2.0,1,Puma,,,,,
PUMA Celi women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/puma-celi-womens-sneakers/394653?swatch=02&referrer-category=womens-shoes,women,,,394653_01,Sneakers,,,,5.0,2,Puma,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,
PUMA Celi women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/puma-celi-womens-sneakers/394653?swatch=02&referrer-category=womens-shoes,women,,,394653_02,Sneakers,,,,6.0,2,Puma,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,
PUMA Celi women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/puma-celi-womens-sneakers/394653?swatch=01&referrer-category=womens-shoes,women,,,394653_01,Sneakers,,,,5.0,2,Puma,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,
PUMA Celi women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/puma-celi-womens-sneakers/394653?swatch=01&referrer-category=womens-shoes,women,,,394653_02,Sneakers,,,,6.0,2,Puma,Frosty Pink-Cool Mid Gray-PUMA White,PUMA Black-PUMA White-Spring Fern,,,
Whizzlite women's Sneakers,"2,159","4,499",https://in.puma.com/in/en/pd/whizzlite-womens-sneakers/394652?swatch=02&referrer-category=womens-shoes,women,,,394652_01,Sneakers,,,,1.0,2,Puma,PUMA Black-Matte Silver,Warm White-Matte Silver,,,
Whizzlite women's Sneakers,"2,159","4,499",https://in.puma.com/in/en/pd/whizzlite-womens-sneakers/394652?swatch=02&referrer-category=womens-shoes,women,,,394652_02,Sneakers,,,,3.0,2,Puma,PUMA Black-Matte Silver,Warm White-Matte Silver,,,
Whizzlite women's Sneakers,"2,159","4,499",https://in.puma.com/in/en/pd/whizzlite-womens-sneakers/394652?swatch=01&referrer-category=womens-shoes,women,,,394652_01,Sneakers,,,,1.0,2,Puma,PUMA Black-Matte Silver,Warm White-Matte Silver,,,
Whizzlite women's Sneakers,"2,159","4,499",https://in.puma.com/in/en/pd/whizzlite-womens-sneakers/394652?swatch=01&referrer-category=womens-shoes,women,,,394652_02,Sneakers,,,,3.0,2,Puma,PUMA Black-Matte Silver,Warm White-Matte Silver,,,
RS-X Soft women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=02&referrer-category=womens-shoes,women,,,393772_01,Sneakers,,,,1.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
RS-X Soft women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=02&referrer-category=womens-shoes,women,,,393772_02,Sneakers,,,,2.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
RS-X Soft women's Sneakers,"5,199","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=02&referrer-category=womens-shoes,women,,,393772_05,Sneakers,,,,1.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
RS-X Soft women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=05&referrer-category=womens-shoes,women,,,393772_01,Sneakers,,,,1.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
RS-X Soft women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=05&referrer-category=womens-shoes,women,,,393772_02,Sneakers,,,,2.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
RS-X Soft women's Sneakers,"5,199","9,999",https://in.puma.com/in/en/pd/rs-x-soft-womens-sneakers/393772?swatch=05&referrer-category=womens-shoes,women,,,393772_05,Sneakers,,,,1.0,3,Puma,PUMA White-Alpine Snow,Frosty Pink-Warm White,Frosty Pink-Ravish-Pearl Pink,,
Karmen Rebelle women's Sneakers,"3,849","6,999",https://in.puma.com/in/en/pd/karmen-rebelle-womens-sneakers/387212?swatch=02&referrer-category=womens-shoes,women,,,387212_01,Sneakers,,,,4.0,2,Puma,Puma White-Puma White,Puma White-Puma Black,,,
Karmen Rebelle women's Sneakers,"3,849","6,999",https://in.puma.com/in/en/pd/karmen-rebelle-womens-sneakers/387212?swatch=02&referrer-category=womens-shoes,women,,,387212_02,Sneakers,,,,1.0,2,Puma,Puma White-Puma White,Puma White-Puma Black,,,
Carina 2.0 women's Sneakers,"3,119","5,999",https://in.puma.com/in/en/pd/carina-2-0-womens-sneakers/392518?swatch=01&referrer-category=womens-shoes,women,,,392518_01,Sneakers,,,,1.0,2,Puma,PUMA White-PUMA Gold,PUMA Black-PUMA Gold-PUMA White,,,
Carina 2.0 women's Sneakers,"3,119","5,999",https://in.puma.com/in/en/pd/carina-2-0-womens-sneakers/392518?swatch=01&referrer-category=womens-shoes,women,,,392518_02,Sneakers,,,,4.0,2,Puma,PUMA White-PUMA Gold,PUMA Black-PUMA Gold-PUMA White,,,
Mayze Forward History women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/mayze-forward-history-womens-sneakers/393625?swatch=01&referrer-category=womens-shoes,women,,,393625_01,Sneakers,,,,5.0,1,Puma,,,,,
Cali Court Match women's Sneakers,"4,229","8,999",https://in.puma.com/in/en/pd/cali-court-match-womens-sneakers/393094?swatch=01&referrer-category=womens-shoes,women,,,393094_01,Sneakers,,,,5.0,2,Puma,PUMA White-Archive Green,PUMA White-Granola,,,
Cali Court Match women's Sneakers,"4,949","8,999",https://in.puma.com/in/en/pd/cali-court-match-womens-sneakers/393094?swatch=01&referrer-category=womens-shoes,women,,,393094_02,Sneakers,,,,4.0,2,Puma,PUMA White-Archive Green,PUMA White-Granola,,,
Karmen Rebelle women's Sneakers,"3,849","6,999",https://in.puma.com/in/en/pd/karmen-rebelle-womens-sneakers/387212?swatch=01&referrer-category=womens-shoes,women,,,387212_01,Sneakers,,,,4.0,2,Puma,Puma White-Puma White,Puma White-Puma Black,,,
Karmen Rebelle women's Sneakers,"3,849","6,999",https://in.puma.com/in/en/pd/karmen-rebelle-womens-sneakers/387212?swatch=01&referrer-category=womens-shoes,women,,,387212_02,Sneakers,,,,1.0,2,Puma,Puma White-Puma White,Puma White-Puma Black,,,
Future Rider Pastel women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/future-rider-pastel-womens-sneakers/383683?swatch=05&referrer-category=womens-shoes,women,,,383683_05,Sneakers,,,,4.0,2,Puma,Alpine Snow-Galaxy Pink,PUMA White-Sedate Gray,,,
Future Rider Pastel women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/future-rider-pastel-womens-sneakers/383683?swatch=05&referrer-category=womens-shoes,women,,,383683_06,Sneakers,,,,2.0,2,Puma,Alpine Snow-Galaxy Pink,PUMA White-Sedate Gray,,,
