product_code,review_count,size,comfort,durability,star
375072_47,,,,,
381983_01,,,,,
381983_02,,,,,
381983_43,,,,,
381983_01,,,,,
381983_02,,,,,
381983_43,,,,,
381983_01,,,,,
381983_02,,,,,
381983_43,,,,,
370325_01,,,,,
370325_02,,,,,
370325_10,,,,,
369143_01,,,,,
372104_01,,,,,
380686_02,,,,,
371125_01,,,,,
395002_05,,,,,
395002_06,,,,,
392815_01,,,,,
392815_02,,,,,
392815_01,,,,,
392815_02,,,,,
395002_05,,,,,
395002_06,,,,,
394923_02,,,,,
378754_01,,,,,
378788_02,,,,,
379071_01,,,,,
379071_02,,,,,
376542_13,,,,,
376542_14,,,,,
376542_16,,,,,
376542_17,,,,,
376960_01,,,,,
386914_01,,,,,
386914_02,,,,,
378789_01,,,,,
378789_02,,,,,
386914_01,,,,,
386914_02,,,,,
377038_01,,,,,
377038_02,,,,,
377038_01,,,,,
377038_02,,,,,
378787_02,,,,,
378787_03,,,,,
378789_01,,,,,
378789_02,,,,,
378782_01,,,,,
378782_02,,,,,
378788_02,,,,,
378782_01,,,,,
378782_02,,,,,
376542_13,,,,,
376542_14,,,,,
376542_16,,,,,
376542_17,,,,,
379071_01,,,,,
379071_02,,,,,
378787_02,,,,,
378787_03,,,,,
377038_01,,,,,
377038_02,,,,,
376542_13,,,,,
376542_14,,,,,
376542_16,,,,,
376542_17,,,,,
389294_02,,,,,
376542_13,,,,,
376542_14,,,,,
376542_16,,,,,
376542_17,,,,,
381386_05,,,,,
195161_16,,,,,
193078_01,,,,,
364886_01,,,,,
364886_02,,,,,
364886_01,,,,,
364886_02,,,,,
378296_02,,,,,
376969_01,,,,,
376969_04,,,,,
376969_09,,,,,
376969_12,,,,,
376969_14,,,,,
107565_01,,,,,
107565_02,,,,,
107565_03,,,,,
107565_01,,,,,
107565_02,,,,,
107565_03,,,,,
107507_01,,,,,
107507_03,,,,,
107507_04,,,,,
107356_01,,,,,
107356_03,,,,,
107356_04,,,,,
107523_01,,,,,
107523_03,,,,,
377540_01,,,,,
377540_05,,,,,
393551_01,,,,,
385106_02,,,,,
385106_03,,,,,
385106_02,,,,,
385106_03,,,,,
378482_01,,,,,
378482_02,,,,,
376171_07,,,,,
376171_13,,,,,
376171_14,,,,,
376171_07,,,,,
376171_13,,,,,
376171_14,,,,,
378473_01,,,,,
107507_01,,,,,
107507_03,,,,,
107507_04,,,,,
107356_01,,,,,
107356_03,,,,,
107356_04,,,,,
107371_03,,,,,
378852_01,,,,,
378852_02,,,,,
378688_01,,,,,
378688_02,,,,,
378852_01,,,,,
378852_02,,,,,
379657_06,,,,,
378792_01,,,,,
378792_02,,,,,
378792_01,,,,,
378792_02,,,,,
379135_02,,,,,
379070_01,,,,,
379070_02,,,,,
379070_01,,,,,
379070_02,,,,,
378786_01,,,,,
378846_03,,,,,
378846_04,,,,,
377311_03,,,,,
377311_04,,,,,
378804_01,,,,,
378804_02,,,,,
378684_01,,,,,
378804_01,,,,,
378804_02,,,,,
378688_01,,,,,
378688_02,,,,,
377045_10,,,,,
377045_11,,,,,
378848_01,,,,,
378712_01,,,,,
378712_02,,,,,
378712_01,,,,,
378712_02,,,,,
377045_10,,,,,
377045_11,,,,,
377855_08,,,,,
379115_01,,,,,
379040_01,,,,,
378793_01,,,,,
378814_02,,,,,
379114_01,,,,,
377063_04,,,,,
379994_01,,,,,
379994_02,,,,,
379994_01,,,,,
379994_02,,,,,
390143_01,,,,,
390143_02,,,,,
387392_01,,,,,
387392_02,,,,,
387392_03,,,,,
390143_01,,,,,
390143_02,,,,,
381168_04,,,,,
381168_05,,,,,
381168_06,,,,,
376194_01,,,,,
376194_04,,,,,
376194_05,,,,,
378773_01,,,,,
378773_02,,,,,
377758_01,,,,,
377758_02,,,,,
377758_08,,,,,
377758_09,,,,,
378823_01,,,,,
378823_02,,,,,
378710_02,,,,,
378710_03,,,,,
376906_03,,,,,
376906_07,,,,,
376906_09,,,,,
376906_03,,,,,
376906_07,,,,,
376906_09,,,,,
378823_01,,,,,
378823_02,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
387392_01,,,,,
387392_02,,,,,
387392_03,,,,,
193257_01,,,,,
193257_03,,,,,
381385_02,,,,,
107507_01,,,,,
107507_03,,,,,
107507_04,,,,,
381168_04,,,,,
381168_05,,,,,
381168_06,,,,,
107356_01,,,,,
107356_03,,,,,
107356_04,,,,,
377758_01,,,,,
377758_02,,,,,
377758_08,,,,,
377758_09,,,,,
379085_02,,,,,
379085_03,,,,,
378456_03,,,,,
378456_07,,,,,
376969_01,,,,,
376969_04,,,,,
376969_09,,,,,
376969_12,,,,,
376969_14,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
377674_02,,,,,
376908_01,,,,,
378551_04,,,,,
378456_03,,,,,
378456_07,,,,,
376262_07,,,,,
376262_09,,,,,
376262_19,,,,,
376262_20,,,,,
376262_21,,,,,
377316_01,,,,,
377316_04,,,,,
377316_07,,,,,
377316_08,,,,,
377758_01,,,,,
377758_02,,,,,
377758_08,,,,,
377758_09,,,,,
377746_03,,,,,
377746_04,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
377758_01,,,,,
377758_02,,,,,
377758_08,,,,,
377758_09,,,,,
381168_04,,,,,
381168_05,,,,,
381168_06,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
377892_02,,,,,
377892_09,,,,,
377892_10,,,,,
376977_01,,,,,
377892_02,,,,,
377892_09,,,,,
377892_10,,,,,
307685_04,,,,,
377316_01,,,,,
377316_04,,,,,
377316_07,,,,,
377316_08,,,,,
378906_01,,,,,
377904_01,,,,,
377904_07,,,,,
377861_01,,,,,
377861_03,,,,,
376262_07,,,,,
376262_09,,,,,
376262_19,,,,,
376262_20,,,,,
376262_21,,,,,
379022_07,,,,,
378854_01,,,,,
378854_02,,,,,
195328_07,,,,,
377151_02,,,,,
377151_07,,,,,
376965_03,,,,,
379082_05,,,,,
195186_01,,,,,
378710_02,,,,,
378710_03,,,,,
376906_03,,,,,
376906_07,,,,,
376906_09,,,,,
377944_01,,,,,
377944_03,,,,,
376969_01,,,,,
376969_04,,,,,
376969_09,,,,,
376969_12,,,,,
376969_14,,,,,
377375_01,,,,,
376038_14,,,,,
376592_03,,,,,
376592_05,,,,,
377603_01,,,,,
376194_01,,,,,
376194_04,,,,,
376194_05,,,,,
377892_02,,,,,
377892_09,,,,,
377892_10,,,,,
378854_01,,,,,
378854_02,,,,,
378773_01,,,,,
378773_02,,,,,
377891_02,,,,,
377891_09,,,,,
377891_11,,,,,
376262_07,,,,,
376262_09,,,,,
376262_19,,,,,
376262_20,,,,,
376262_21,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
377903_02,,,,,
377903_04,,,,,
377558_22,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
106898_01,,,,,
377091_01,,,,,
377891_02,,,,,
377891_09,,,,,
377891_11,,,,,
377040_01,,,,,
377040_02,,,,,
377903_02,,,,,
377903_04,,,,,
378115_01,,,,,
378115_09,,,,,
376211_03,,,,,
376211_09,,,,,
376211_13,,,,,
195235_20,,,,,
195235_21,,,,,
376171_07,,,,,
376171_13,,,,,
376171_14,,,,,
377978_03,,,,,
377978_04,,,,,
377978_03,,,,,
377978_04,,,,,
377874_04,,,,,
377874_05,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
377944_01,,,,,
377944_03,,,,,
377080_01,,,,,
376194_01,,,,,
376194_04,,,,,
376194_05,,,,,
377605_01,,,,,
376169_02,,,,,
376169_05,,,,,
376169_06,,,,,
376169_09,,,,,
376169_10,,,,,
376169_12,,,,,
377040_01,,,,,
377040_02,,,,,
377311_03,,,,,
377311_04,,,,,
377292_01,,,,,
376969_01,,,,,
376969_04,,,,,
376969_09,,,,,
376969_12,,,,,
376969_14,,,,,
107523_01,,,,,
107523_03,,,,,
377316_01,,,,,
377316_04,,,,,
377316_07,,,,,
377316_08,,,,,
195235_20,,,,,
195235_21,,,,,
376211_03,,,,,
376211_09,,,,,
376211_13,,,,,
378846_03,,,,,
378846_04,,,,,
378784_01,,,,,
378784_02,,,,,
378784_03,,,,,
378115_01,,,,,
378115_09,,,,,
377580_08,,,,,
377861_01,,,,,
377861_03,,,,,
377746_03,,,,,
377746_04,,,,,
378318_02,,,,,
378784_01,,,,,
378784_02,,,,,
378784_03,,,,,
376262_07,,,,,
376262_09,,,,,
376262_19,,,,,
376262_20,,,,,
376262_21,,,,,
378469_01,,,,,
377508_04,,,,,
376262_07,,,,,
376262_09,,,,,
376262_19,,,,,
376262_20,,,,,
376262_21,,,,,
377316_01,,,,,
377316_04,,,,,
377316_07,,,,,
377316_08,,,,,
377540_01,,,,,
377540_05,,,,,
107565_01,,,,,
107565_02,,,,,
107565_03,,,,,
379085_02,,,,,
379085_03,,,,,
378482_01,,,,,
378482_02,,,,,
378784_01,,,,,
378784_02,,,,,
378784_03,,,,,
377904_01,,,,,
377904_07,,,,,
377891_02,,,,,
377891_09,,,,,
377891_11,,,,,
377945_01,,,,,
377945_02,,,,,
376809_01,,,,,
376809_07,,,,,
376809_10,,,,,
376809_01,,,,,
376809_07,,,,,
376809_10,,,,,
376809_01,,,,,
376809_07,,,,,
376809_10,,,,,
376855_04,,,,,
376855_06,,,,,
376855_10,,,,,
376855_11,,,,,
376855_17,,,,,
376855_20,,,,,
376855_22,,,,,
377945_01,,,,,
377945_02,,,,,
378527_01,,,,,
378527_03,,,,,
378548_01,,,,,
378548_02,,,,,
378527_01,,,,,
378527_03,,,,,
377172_18,,,,,
377172_21,,,,,
376211_03,,,,,
376211_09,,,,,
376211_13,,,,,
380485_06,,,,,
377151_02,,,,,
377151_07,,,,,
378548_01,,,,,
378548_02,,,,,
377172_18,,,,,
377172_21,,,,,
377909_01,,,,,
376969_01,,,,,
376969_04,,,,,
376969_09,,,,,
376969_12,,,,,
376969_14,,,,,
376592_03,,,,,
376592_05,,,,,
377874_04,,,,,
377874_05,,,,,
376286_01,,,,,
387392_01,,,,,
387392_02,,,,,
387392_03,,,,,
192663_02,,,,,
192663_05,,,,,
192663_07,,,,,
193739_05,,,,,
370791_11,,,,,
370791_12,,,,,
194682_06,,,,,
194682_11,,,,,
194355_01,,,,,
194355_14,,,,,
194355_21,,,,,
194355_24,,,,,
370791_11,,,,,
370791_12,,,,,
194355_01,,,,,
194355_14,,,,,
194355_21,,,,,
194355_24,,,,,
192268_02,,,,,
192268_04,,,,,
193256_01,,,,,
193256_16,,,,,
193256_01,,,,,
193256_16,,,,,
193756_01,,,,,
194682_06,,,,,
194682_11,,,,,
193673_03,,,,,
194355_01,,,,,
194355_14,,,,,
194355_21,,,,,
194355_24,,,,,
194362_12,,,,,
194355_01,,,,,
194355_14,,,,,
194355_21,,,,,
194355_24,,,,,
394644_01,,,,,
394644_02,,,,,
387980_04,,,,,
387980_05,,,,,
395842_03,,,,,
390963_01,,,,,
390963_03,,,,,
390963_12,,,,,
394644_01,,,,,
394644_02,,,,,
389557_02,,,,,
387611_01,,,,,
387611_01,,,,,
376542_13,,,,,
376542_13,,,,,
376542_13,,,,,
376542_13,,,,,
193257_03,,,,,
390963_01,,,,,
390963_03,,,,,
390963_12,,,,,
395644_02,,,,,
386701_01,,,,,
388781_02,,,,,
390965_02,,,,,
390963_01,,,,,
390963_03,,,,,
390963_12,,,,,
387980_04,,,,,
387980_05,,,,,
384132_01,,,,,
395845_01,,,,,
394634_01,,,,,
394634_02,,,,,
