shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
ARCH FIT-KEEP IT UP,"5,999.00",https://www.skechers.in/arch-fit-keep-it-up/149776-OFWT.html,WOMEN,16,3.8,149776-OFWT,,,,60.0,4,3,skechers,BLACK/WHITE,MMAUVE,OFF WHITE,,
ARCH FIT-KEEP IT UP,"5,999.00",https://www.skechers.in/arch-fit-keep-it-up/149776-OFWT.html,WOMEN,16,3.8,149776-NVPR,,,,60.0,4,4,skechers,BLACK/WHITE,MMAUVE,OFF WHITE,NAVY/PURPLE,
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-MVE,,,,60.0,0,1,skechers,,,,,
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-CCTQ,,,,60.0,0,2,skechers,MMAUVE,CHARCOAL/TURQUOISE,,,
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-DKTP,,,,60.0,4,3,skechers,MMAUVE,CHARCOAL/TURQUOISE,DARK TAUPE,,
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-BKLV,,,,60.0,6,4,skechers,MMAUVE,CHARCOAL/TURQUOISE,DARK TAUPE,BLACK/LAVENDER,
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-GYPK,,,,60.0,0,5,skechers,MMAUVE,CHARCOAL/TURQUOISE,DARK TAUPE,BLACK/LAVENDER,GREY/PINK
ARCH FIT - COMFY WAVE,"4,549.00",https://www.skechers.in/arch-fit---comfy-wave/149414-BKLV.html,WOMEN,518,4.5,149414-SLT,,,,60.0,5,6,skechers,MMAUVE,CHARCOAL/TURQUOISE,DARK TAUPE,BLACK/LAVENDER,GREY/PINK
ARCH FIT-ALL TIED,"5,399.00",https://www.skechers.in/arch-fit-all-tied/149564-RED.html,WOMEN,2,5.0,149564-RED,,,,60.0,5,1,skechers,,,,,
ARCH FIT-ALL TIED,"5,399.00",https://www.skechers.in/arch-fit-all-tied/149564-RED.html,WOMEN,2,5.0,149564-NVY,,,,60.0,3,2,skechers,RRED,NNNAVY,,,
CLEO SPORT - DARING SPIRIT,"4,199.00",https://www.skechers.in/cleo-sport---daring-spirit/158459-SAGE.html,WOMEN,30,4.4,158459-SAGE,,,,60.0,4,1,skechers,,,,,
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-LTPK.html,WOMEN,2,5.0,155652-LTPK,,,,60.0,3,1,skechers,,,,,
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-LTPK.html,WOMEN,2,5.0,155652-LTBL,,,,60.0,0,2,skechers,LLLIGHT PINK,LLIGHT BLUE,,,
