shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
RESPONSE SHOES,7 599.00,4 939.50,https://www.adidas.co.in/response-shoes/HP5928.html,Women ,114.0,,HP5928, Running,84.0,81.0,47.0,,6,adidas,Core Black / Core Black / Core Black,Core Black / Grey Two / Screaming Orange,Lucid Fuchsia S23 / Cloud White / Pulse Mint S22,Grey Two / Silver Metallic / Grey Three,Pink Fusion F23 / Bright Royal / Wonder Blue F23
RESPONSE SHOES,7 599.00,4 939.50,https://www.adidas.co.in/response-shoes/HP5929.html,Women ,114.0,,HP5929, Running,84.0,81.0,47.0,,6,adidas,Core Black / Core Black / Core Black,Core Black / Grey Two / Screaming Orange,Lucid Fuchsia S23 / Cloud White / Pulse Mint S22,Grey Two / Silver Metallic / Grey Three,Pink Fusion F23 / Bright Royal / Wonder Blue F23
RESPONSE SHOES,7 599.00,4 939.50,https://www.adidas.co.in/response-shoes/IG0333.html,Women ,114.0,,IG0333, Running,84.0,81.0,47.0,,6,adidas,Core Black / Core Black / Core Black,Core Black / Grey Two / Screaming Orange,Lucid Fuchsia S23 / Cloud White / Pulse Mint S22,Grey Two / Silver Metallic / Grey Three,Pink Fusion F23 / Bright Royal / Wonder Blue F23
RESPONSE SHOES,7 599.00,4 939.50,https://www.adidas.co.in/response-shoes/IG0334.html,Women ,114.0,,IG0334, Running,84.0,81.0,47.0,,6,adidas,Core Black / Core Black / Core Black,Core Black / Grey Two / Screaming Orange,Lucid Fuchsia S23 / Cloud White / Pulse Mint S22,Grey Two / Silver Metallic / Grey Three,Pink Fusion F23 / Bright Royal / Wonder Blue F23
TERREX FREE HIKER 2.0 HIKING SHOES,19 999.00,,https://www.adidas.co.in/terrex-free-hiker-2.0-hiking-shoes/HQ8396.html,Men ,259.0,,HQ8396, TERREX,88.0,86.0,48.0,,2,adidas,Wonder Steel / Grey Three / Legend Ink,Silver Violet S23 / Blue Dawn S23 / Core Black,,,
TERREX FREE HIKER 2.0 HIKING SHOES,19 999.00,,https://www.adidas.co.in/terrex-free-hiker-2.0-hiking-shoes/HQ8398.html,Men ,259.0,,HQ8398, TERREX,88.0,86.0,48.0,,2,adidas,Wonder Steel / Grey Three / Legend Ink,Silver Violet S23 / Blue Dawn S23 / Core Black,,,
CONTEM X SHOES,3 799.00,,https://www.adidas.co.in/contem-x-shoes/GC0599.html,Women ,9.0,,GC0599, Running,88.0,88.0,50.0,,3,adidas,Core Black / Beam Pink F22,Cloud White / Coffee Met. S23 / Stone,Pink Strata / Stone,,
CONTEM X SHOES,3 799.00,,https://www.adidas.co.in/contem-x-shoes/GC0600.html,Women ,9.0,,GC0600, Running,88.0,88.0,50.0,,3,adidas,Core Black / Beam Pink F22,Cloud White / Coffee Met. S23 / Stone,Pink Strata / Stone,,
CONTEM X SHOES,3 799.00,,https://www.adidas.co.in/contem-x-shoes/GC0601.html,Women ,9.0,,GC0601, Running,88.0,88.0,50.0,,3,adidas,Core Black / Beam Pink F22,Cloud White / Coffee Met. S23 / Stone,Pink Strata / Stone,,
MECHAN M,3 299.00,2 144.50,https://www.adidas.co.in/mechan-m/IQ8731.html,Men ,10.0,,IQ8731, TERREX,72.0,70.0,62.0,,2,adidas,Blue Oxide S21 / Core Black,Preloved Brown F23 / Magic Beige F22,,,
MECHAN M,3 299.00,2 144.50,https://www.adidas.co.in/mechan-m/IQ8733.html,Men ,10.0,,IQ8733, TERREX,72.0,70.0,62.0,,2,adidas,Blue Oxide S21 / Core Black,Preloved Brown F23 / Magic Beige F22,,,
ADILETTE ESSENTIAL SLIDES,5 999.00,3 899.50,https://www.adidas.co.in/adilette-essential-slides/IE9648.html,Women ,8.0,,IE9648, Originals,90.0,75.0,53.0,,1,adidas,,,,,
ALL-COURT PRIME,5 599.00,3 919.50,https://www.adidas.co.in/all-court-prime/IQ8712.html,Men ,2.0,,IQ8712, Tennis,87.0,87.0,50.0,,2,adidas,Lucid Cyan / Semi Impact Orange,Semi Impact Orange F22 / Black / Bordeaux,,,
ALL-COURT PRIME,5 599.00,3 919.50,https://www.adidas.co.in/all-court-prime/IQ8780.html,Men ,2.0,,IQ8780, Tennis,87.0,87.0,50.0,,2,adidas,Lucid Cyan / Semi Impact Orange,Semi Impact Orange F22 / Black / Bordeaux,,,
NORDINO SUPER SHOES,5 299.00,3 709.50,https://www.adidas.co.in/nordino-super--shoes/IQ8737.html,Unisex,,,IQ8737,Nan,,,,,2,adidas,Grey Six / Stone / Semi Impact Orange F22,Old Gold / Black / Bordeaux,,,
NORDINO SUPER SHOES,5 299.00,3 709.50,https://www.adidas.co.in/nordino-super--shoes/IQ8738.html,Unisex,,,IQ8738,Nan,,,,,2,adidas,Grey Six / Stone / Semi Impact Orange F22,Old Gold / Black / Bordeaux,,,
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IE2962.html,Men ,37.0,,IE2962, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IF2229.html,Men ,37.0,,IF2229, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IF2232.html,Men ,37.0,,IF2232, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IF2233.html,Men ,37.0,,IF2233, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IF2235.html,Men ,37.0,,IF2235, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,5 199.50,https://www.adidas.co.in/questar-shoes/IF2236.html,Men ,37.0,,IF2236, Running,84.0,84.0,51.0,,6,adidas,Royal Blue / Blue Burst S24 / Lucid Lemon F23,Core Black / Cloud White / Carbon,Arctic Night / Cloud White / Lucid Lemon,Cloud White / Arctic Night / Lucid Lemon,Bright Royal / Silver Metallic / Legend Ink
QUESTAR SHOES,7 999.00,3 999.50,https://www.adidas.co.in/questar-shoes/GY2250.html,Women ,208.0,,GY2250, Running,90.0,89.0,48.0,,4,adidas,Bliss Orange / Beam Orange / Matt Purple Met.,Blue Dawn S23 / Cloud White / Blue Fusion S23,Cloud White / Lucid Fuchsia S23 / Silver Dawn S23,Core Black / Blue Fusion S23 / Night Metallic,
QUESTAR SHOES,7 999.00,3 999.50,https://www.adidas.co.in/questar-shoes/HP2429.html,Women ,208.0,,HP2429, Running,90.0,89.0,48.0,,4,adidas,Bliss Orange / Beam Orange / Matt Purple Met.,Blue Dawn S23 / Cloud White / Blue Fusion S23,Cloud White / Lucid Fuchsia S23 / Silver Dawn S23,Core Black / Blue Fusion S23 / Night Metallic,
QUESTAR SHOES,7 999.00,3 999.50,https://www.adidas.co.in/questar-shoes/HP2431.html,Women ,208.0,,HP2431, Running,90.0,89.0,48.0,,4,adidas,Bliss Orange / Beam Orange / Matt Purple Met.,Blue Dawn S23 / Cloud White / Blue Fusion S23,Cloud White / Lucid Fuchsia S23 / Silver Dawn S23,Core Black / Blue Fusion S23 / Night Metallic,
QUESTAR SHOES,7 999.00,3 999.50,https://www.adidas.co.in/questar-shoes/HP2432.html,Women ,208.0,,HP2432, Running,90.0,89.0,48.0,,4,adidas,Bliss Orange / Beam Orange / Matt Purple Met.,Blue Dawn S23 / Cloud White / Blue Fusion S23,Cloud White / Lucid Fuchsia S23 / Silver Dawn S23,Core Black / Blue Fusion S23 / Night Metallic,
